customer_id,fc_segment,recommendation_1,most_frequent_item
58A194D28E7C9AFC9B0A180313615250,Potenciales,30941,7318
34AB250054525C836E7F000001615250,Potenciales,18518,23834
6AECD5470C6C7C13100A180313615250,Potenciales,34218,5206
614FC9399A3DF0D6270A180313615250,Potenciales,34370,5363
32387DFFA8521360EE7F000001615250,Potenciales,4180,23401
5096B407516BF7FB130A180313615250,Potenciales,4173,4105
3380FAAB5B35CB0E507F000001615250,Potenciales,6752,21235
379006CDAB5C4EC0007F000001615250,Potenciales,34113,23446
323BA5F8521D83D4ED7F000001615250,Potenciales,28363,5727
3E006FB4946D8554E87F000001615250,Potenciales,6585,2
615474ECCF721B5F1E0A180313615250,Potenciales,18470,3213
33A8981BB424D45B127F000001615250,Potenciales,3213,23418
378F6D80D5503A82B07F000001615250,Potenciales,6585,307
32346D73AD2472731D7F000001615250,Potenciales,30604,22346
504E92C48773511BCC0A180313615250,Potenciales,31733,35696
6DAEFB215C294C2C890A180313615250,Potenciales,18566,30025
63B7CA03406320C1FF0A180313615250,Potenciales,18518,6939
62BFBEFDBF2FCAE3480A180313615250,Potenciales,30941,28016
6CD5A07D8B0088B8250A180313615250,Potenciales,34114,27136
355F7C122A6351FADA7F000001615250,Potenciales,30941,1360
427B4038D42A4CB6EC7F000001615250,Potenciales,1360,21360
4A176D09F26B24B1677F000001615250,Potenciales,30604,1360
4F3051E77C7AB805AA0A180313615250,Potenciales,5727,133
5995299D8F7E1DC0AA0A180313615250,Potenciales,3968,109
46D9388BAF0DAD70937F000001615250,Potenciales,4180,23444
4B8365E22552ED915B7F000001615250,Potenciales,30604,4410
4EE20146643A8D80450A180313615250,Potenciales,17432,6939
62DEE8A8F200ED93B20A180313615250,Potenciales,30604,1360
37EB65E9D52AA89BB17F000001615250,Potenciales,34218,7335
65FA2D810A128EA5B10A180313615250,Potenciales,34114,10
6D1EE3B0B8494A32340A180313615250,Potenciales,34347,5728
32385AF9AD69041A4D7F000001615250,Potenciales,31733,10
4EE517FAAC42E4CF020A180313615250,Potenciales,307,4369
37905A521A445E61877F000001615250,Potenciales,6752,4173
48864710733CB1F5FB7F000001615250,Potenciales,4173,87
6B247977C01EB5CE020A180313615250,Potenciales,28363,3737
3B72EB687474D0F78F7F000001615250,Potenciales,5727,10
33C63265A607222B4D7F000001615250,Potenciales,34114,3559
4588490FA927C258157F000001615250,Potenciales,3213,23768
6E685CA426266B206F0A180313615250,Potenciales,30941,26626
500696A9AE127519A60A180313615250,Potenciales,18470,28363
67C408A7E600257FF60A180313615250,Potenciales,19206,21258
578C545E467EDD68170A180313615250,Potenciales,24596,7336
3795EDD71A0FB278557F000001615250,Potenciales,18518,4324
49CF8881406B57C9627F000001615250,Potenciales,17495,23712
531A8675DD474621200A180313615250,Potenciales,30941,4373
456447183B63EF0EC07F000001615250,Potenciales,6585,7336
63863DC2777D7686EB0A180313615250,Potenciales,31733,4440
54D27815A87E0561390A180313615250,Potenciales,25174,33114
324162F6D944972C767F000001615250,Potenciales,6585,6825
378F49A03521D0E70E7F000001615250,Potenciales,34218,26118
5340D9B5B93E47CDA20A180313615250,Potenciales,26257,29087
55A08509813EF3B1640A180313615250,Potenciales,5727,6939
378F9F7B1E1329F16E7F000001615250,Potenciales,28363,4324
695574A5F6732E54640A180313615250,Potenciales,34114,23719
55C808D9080C3314CF0A180313615250,Potenciales,18470,23565
6917F7075555221D980A180313615250,Potenciales,34114,3683
3235EB6232442BC62D7F000001615250,Potenciales,34347,23686
4F8CF0FEF0721C5BF70A180313615250,Potenciales,34370,1360
3F6436ED9E368892927F000001615250,Potenciales,307,23531
61AC7646B108CD8E620A180313615250,Potenciales,26257,4113
